place_id,status,name,address,location,latitude,longitude,directions,hours,publicOrPrivate,isAccessible,male,female,hasToiletPaper,hasSoap,hasChangingTable,unisex,isFree,needKey,isVerified,rating,user_ratings_total,type
ChIJ05-3C9HluocRUrogjrnIKVw,OPERATIONAL,Restroom,"2720 Jewett S, Wichita, KS 67210, United States","{""lat"":37.6430126,""lng"":-97.2832834}",37.6430126,-97.2832834,,,,0,0,0,0,0,0,0,0,0,0,5,1,toilet
ChIJ93FIJmGAhYARpAsktjfUSYI,OPERATIONAL,"Public Restroom","98 Clay St, San Francisco, CA 94105, United States","{""lat"":37.7957199,""lng"":-122.3966908}",37.7957199,-122.3966908,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,3.2,33,toilet
ChIJexQ97wZ9j4ARSCwJQ_oQ3DA,OPERATIONAL,"Public Restroom","505 Kenwood Way, San Francisco, CA 94127, United States","{""lat"":37.7285189,""lng"":-122.4660386}",37.7285189,-122.4660386,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4,1,toilet
ChIJjwdEOR5-j4AR6w0JBB0KHmU,OPERATIONAL,"Public restroom","2046 Market St, San Francisco, CA 94114, United States","{""lat"":37.768545,""lng"":-122.427901}",37.768545,-122.427901,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,3.5,2,toilet
ChIJlVfh4mh9j4ARlVckTcaWa1w,OPERATIONAL,"Midtown Terrace Public Restroom","280 Olympia Way, San Francisco, CA 94131, United States","{""lat"":37.751672,""lng"":-122.4558799}",37.751672,-122.4558799,,,,0,0,0,0,0,0,0,0,0,0,0,0,toilet
ChIJ8Z8X0Yh_j4AReIMhQgPWzHs,OPERATIONAL,"Mansell East Public Restroom","Mansell St &, Visitacion Ave, San Francisco, CA 94134, United States","{""lat"":37.719137,""lng"":-122.412688}",37.719137,-122.412688,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,0,0,toilet
ChIJcZlyt0F5j4AR41P0dHz3-kc,OPERATIONAL,"Brisbane Community Park Public Restroom","Community Park, 11 Old County Rd, Brisbane, CA 94005, United States","{""lat"":37.6849587,""lng"":-122.4008085}",37.6849587,-122.4008085,,,,0,0,0,0,0,0,0,0,0,0,0,0,toilet
ChIJXVmO8el5j4ARXHWnewO6b3I,OPERATIONAL,Restroom,"San Bruno, CA 94066, United States","{""lat"":37.6311151,""lng"":-122.4263795}",37.6311151,-122.4263795,,,,0,0,0,0,0,0,0,0,0,0,5,2,toilet
ChIJb6lKTu5_j4ARoOPeyZxnXfc,OPERATIONAL,Bathroom,"San Francisco, CA 94124, United States","{""lat"":37.7093743,""lng"":-122.3814657}",37.7093743,-122.3814657,,,,0,0,0,0,0,0,0,0,0,0,0,0,toilet
ChIJWZ0LLAiHhYARb79AGMHnCSk,OPERATIONAL,restroom,"San Francisco, CA 94122, United States","{""lat"":37.76670319999999,""lng"":-122.4927951}",37.7667032,-122.4927951,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,3.3,13,toilet
ChIJocAfHm-HhYARhR3c0I4eV4U,OPERATIONAL,"Mother's Meadow Playground Public Restroom","599 Martin Luther King Jr Dr, San Francisco, CA 94118, United States","{""lat"":37.7663907,""lng"":-122.4767052}",37.7663907,-122.4767052,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.5,10,toilet
